"code","high","low","open","close","number_of_trades","volume","timestamp"
"LHB","131.5","125","125","130.5",0,40500,"2003-12-29 00:00:00+00"
"LHB","145","130.25","131","140.5",0,1000,"2003-12-30 00:00:00+00"
"LHB","142","137","141.5","138.5",0,65200,"2004-01-01 00:00:00+00"
"LHB","142","138","139","139.25",0,68150,"2004-01-04 00:00:00+00"
"LHB","139","136.5","138.5","138",0,26750,"2004-01-05 00:00:00+00"
"LHB","139.5","137","139.5","138",0,36800,"2004-01-06 00:00:00+00"
"LHB","138","136.5","137.5","137",0,33350,"2004-01-07 00:00:00+00"
"LHB","138.5","136","137.75","136.75",0,14600,"2004-01-08 00:00:00+00"
"LHB","138","133","137.75","134",0,18200,"2004-01-10 00:00:00+00"
"LHB","135","132.75","134","132.75",0,13750,"2004-01-11 00:00:00+00"
"LHB","133.75","127.25","133.75","128.75",0,26700,"2004-01-12 00:00:00+00"
"LHB","129.25","124","129","124",0,32150,"2004-01-13 00:00:00+00"
"LHB","125.75","121.75","124.25","125",0,34550,"2004-01-14 00:00:00+00"
"LHB","127","125.5","126","126",0,5850,"2004-01-15 00:00:00+00"
"LHB","126.25","123","125","123.5",0,20350,"2004-01-17 00:00:00+00"
"LHB","124.5","122","122.25","122.25",0,7300,"2004-01-18 00:00:00+00"
"LHB","122.5","120.5","122.25","120.75",0,11150,"2004-01-19 00:00:00+00"
"LHB","122","120","121.5","120.5",0,13000,"2004-01-20 00:00:00+00"
"LHB","122.75","121","121","121.75",0,7200,"2004-01-21 00:00:00+00"
"LHB","122.75","120.25","122.5","120.25",0,11900,"2004-01-22 00:00:00+00"
"LHB","120.75","120","120.25","120",0,4050,"2004-01-24 00:00:00+00"
"LHB","120.75","119","120.25","119.5",0,7500,"2004-01-25 00:00:00+00"
"LHB","120","119.25","120","119.5",0,4700,"2004-01-26 00:00:00+00"
"LHB","120","119.5","120","119.75",0,11050,"2004-01-27 00:00:00+00"
"LHB","122.75","119.75","119.75","122",0,17900,"2004-01-28 00:00:00+00"
"LHB","124","122.5","122.5","123.5",0,18850,"2004-01-29 00:00:00+00"
"LHB","125","123.25","124.5","124.5",0,13350,"2004-01-31 00:00:00+00"
"LHB","125.75","124","124","125",0,6750,"2004-02-04 00:00:00+00"
"LHB","125.25","123.25","125.25","123.5",0,9800,"2004-02-05 00:00:00+00"
"LHB","123.5","123","123.5","123.25",0,4500,"2004-02-07 00:00:00+00"
"LHB","123.5","123.25","123.5","123.25",0,3250,"2004-02-08 00:00:00+00"
"LHB","123.75","122.75","123.75","122.75",0,4500,"2004-02-09 00:00:00+00"
"LHB","124.25","122.75","123","123",0,9200,"2004-02-10 00:00:00+00"
"LHB","124","122.75","123","123.75",0,10600,"2004-02-11 00:00:00+00"
"LHB","126","123.5","124","125.5",0,34950,"2004-02-15 00:00:00+00"
"LHB","127.25","124.5","126","124.5",0,28350,"2004-02-17 00:00:00+00"
"LHB","124","122","124","122.75",0,17750,"2004-02-18 00:00:00+00"
"LHB","123","122","122.25","122.75",0,9950,"2004-02-19 00:00:00+00"
